     40/99     12.9G   0.02419   0.01929  0.004194   0.04768        77       640    0.9584    0.8633    0.9421    0.7325   0.03744   0.03952   0.01557
     41/99     12.9G    0.0241   0.02002  0.004574    0.0487        64       640    0.9429    0.8711    0.9434    0.7298   0.03656    0.0407   0.01558
     42/99     12.9G   0.02459   0.01968   0.00439   0.04866        62       640    0.9401    0.8807    0.9515    0.7263   0.03916      0.04   0.01485
     43/99     12.9G    0.0233   0.02015  0.004072   0.04752        60       640    0.9589    0.8577    0.9494    0.7337   0.03712     0.041     0.015
     44/99     12.9G   0.02361   0.01927  0.003799   0.04667       160       640    0.9395    0.8409    0.9405    0.7055   0.03854   0.04194   0.01596
     45/99     12.9G   0.02328   0.01936  0.004297   0.04694        30       640    0.9413    0.8462    0.9414    0.7114   0.03822   0.04016   0.01563
     46/99     12.9G   0.02278   0.01976  0.004084   0.04662        70       640    0.9348    0.8645    0.9444    0.7214   0.03627   0.04116   0.01592
     47/99     12.9G   0.02285   0.02084  0.004305   0.04799         7       640    0.9278    0.8674    0.9414    0.7265   0.03678   0.04187   0.01637
     48/99     12.9G   0.02256   0.01947  0.003598   0.04563        13       640    0.9675    0.8495    0.9522    0.7414   0.03799   0.04177   0.01534
     49/99     12.9G   0.02183    0.0184  0.003875    0.0441       105       640    0.9434     0.876    0.9518    0.7203   0.03701    0.0416   0.01522
     50/99     12.9G   0.02187   0.01875  0.003427   0.04405        24       640    0.9449    0.9067     0.958    0.7403   0.03578   0.04274   0.01535
     51/99     12.9G   0.02311   0.01851  0.003247   0.04487        74       640    0.9404    0.8917    0.9564    0.7345   0.03648   0.04421   0.01513
     52/99     12.9G   0.02182   0.02009  0.003732   0.04564       135       640    0.9245    0.8805    0.9417    0.7308   0.03643    0.0437   0.01642
     53/99     12.9G   0.02121   0.01873  0.003134   0.04307       109       640    0.9329    0.8903    0.9544    0.7375   0.03546   0.04148     0.015
     54/99     12.9G   0.02063    0.0188  0.003326   0.04276        24       640      0.92    0.8837    0.9498    0.7372   0.03532   0.04203   0.01546
     55/99     12.9G   0.02122     0.019   0.00322   0.04343        49       640     0.945    0.8893    0.9579    0.7389   0.03578   0.04317   0.01501
     56/99     12.9G   0.02133   0.01756  0.003087   0.04197       116       640    0.9364    0.9076    0.9598    0.7478   0.03598   0.04312   0.01418
     57/99     12.9G    0.0208   0.01845  0.002993   0.04224        36       640    0.9439    0.9039    0.9598    0.7439   0.03548   0.04393   0.01414
     58/99     12.9G   0.01974   0.01805  0.002805    0.0406        14       640    0.9562    0.8912    0.9564    0.7433   0.03557   0.04261   0.01413
     59/99     12.9G   0.02011   0.01894  0.002946     0.042        68       640    0.9599    0.8705    0.9547    0.7257   0.03752   0.04496   0.01405
     60/99     12.9G   0.02041   0.01753  0.003164    0.0411        52       640    0.9538    0.8909    0.9549    0.7327   0.03649   0.04452   0.01427
     61/99     12.9G   0.02014   0.01784  0.003005   0.04099        40       640     0.923    0.8844    0.9484    0.7375   0.03522   0.04377   0.01512
     62/99     12.9G   0.02024   0.01703  0.003211   0.04047        43       640    0.9378    0.9007    0.9582    0.7401   0.03552   0.04282   0.01461
     63/99     12.9G   0.01984   0.01789  0.003071    0.0408        45       640    0.9625    0.8848    0.9622    0.7489   0.03543   0.04302   0.01384
     64/99     12.9G   0.01951   0.01936  0.002853   0.04172        71       640    0.9317    0.9037     0.958    0.7445   0.03484   0.04317    0.0141
     65/99     12.9G   0.01975   0.01811  0.003038   0.04089        92       640     0.945    0.8694    0.9514    0.7301   0.03478   0.04372   0.01459
     66/99     12.9G   0.01928   0.01739  0.002717   0.03938        52       640    0.9359    0.8925    0.9562    0.7487   0.03415   0.04369   0.01448
     67/99     12.9G   0.01899   0.01684  0.002561   0.03839        22       640    0.9304    0.9097    0.9571    0.7423   0.03489   0.04479   0.01418
     68/99     12.9G   0.01864   0.01764  0.002317    0.0386        31       640    0.9289    0.8946    0.9539    0.7415   0.03465   0.04508   0.01368
     69/99     12.9G    0.0193    0.0171  0.002882   0.03928        60       640    0.9141    0.9147    0.9575    0.7475   0.03405   0.04416   0.01344
     70/99     12.9G   0.01914    0.0174  0.002586   0.03912        43       640    0.9373    0.9056    0.9595    0.7477   0.03471   0.04369   0.01379
     71/99     12.9G   0.01883   0.01797  0.002527   0.03932        26       640    0.9109    0.9122    0.9544    0.7572   0.03374   0.04497   0.01383
     72/99     12.9G   0.01836   0.01641  0.002281   0.03706        43       640    0.9161    0.9265     0.958    0.7408   0.03475    0.0446    0.0135
     73/99     12.9G   0.01828   0.01739  0.002311   0.03797         8       640    0.9249    0.9365    0.9611    0.7524   0.03481   0.04409   0.01337
     74/99     12.9G   0.01846   0.01775  0.002272   0.03848        97       640    0.9464    0.9035    0.9574    0.7515   0.03463   0.04392   0.01343
     75/99     12.9G   0.01803   0.01733  0.002278   0.03764         8       640     0.931    0.9249     0.957    0.7463   0.03461   0.04384   0.01343
     76/99     12.9G   0.01813   0.01727  0.002344   0.03774        22       640    0.9549    0.9037      0.96    0.7511   0.03478   0.04444   0.01324
     77/99     12.9G   0.01857   0.01692  0.002424   0.03791        37       640    0.9502    0.8819    0.9529    0.7458   0.03505   0.04473   0.01328
     78/99     12.9G   0.01812   0.01716  0.002234   0.03751        29       640    0.9521    0.8922    0.9537    0.7491    0.0347   0.04502   0.01332
     79/99     12.9G   0.01803   0.01685  0.002401   0.03728         2       640    0.9619      0.88    0.9513    0.7401    0.0345   0.04438   0.01381
     80/99     12.9G   0.01792   0.01692  0.002138   0.03698        25       640     0.963    0.8862    0.9519    0.7529   0.03453   0.04466   0.01382
     81/99     12.9G   0.01801    0.0173  0.002212   0.03752        14       640    0.9494    0.9049    0.9582    0.7559   0.03461   0.04506   0.01334
     82/99     12.9G    0.0172    0.0163  0.001947   0.03545        29       640    0.9314    0.9249    0.9598     0.757   0.03464   0.04493   0.01313
     83/99     12.9G   0.01771   0.01623  0.002187   0.03613        93       640    0.9319    0.9244    0.9586    0.7522   0.03418    0.0443   0.01309
     84/99     12.9G   0.01766   0.01569  0.002124   0.03547       127       640    0.9383    0.9081    0.9562     0.758   0.03425   0.04521    0.0133
     85/99     12.9G   0.01751   0.01583  0.001977   0.03532        97       640    0.9529    0.8935    0.9585    0.7562   0.03413   0.04441   0.01304
     86/99     12.9G   0.01737   0.01629  0.001863   0.03552        86       640    0.9394    0.9128    0.9609    0.7482   0.03445   0.04508   0.01265
     87/99     12.9G   0.01731   0.01664  0.002033   0.03598        41       640    0.9575    0.9123    0.9618    0.7613   0.03455   0.04585   0.01253
     88/99     12.9G   0.01733   0.01674  0.002077   0.03614        37       640    0.9452    0.9133    0.9573    0.7525    0.0348   0.04563   0.01264
     89/99     12.9G   0.01723   0.01608    0.0022   0.03551        18       640    0.9448    0.9084    0.9595    0.7575   0.03426   0.04537   0.01268
     90/99     12.9G   0.01744    0.0164  0.002091   0.03594        26       640    0.9285    0.9107    0.9592    0.7513   0.03422   0.04516   0.01292
     91/99     12.9G    0.0171   0.01591  0.001967   0.03498        33       640    0.9389    0.9046    0.9595    0.7534   0.03424   0.04507   0.01273
     92/99     12.9G   0.01728   0.01535  0.001786   0.03441         4       640    0.9333     0.926    0.9609    0.7583   0.03417   0.04589   0.01257
     93/99     12.9G   0.01725   0.01568  0.001933   0.03486        23       640     0.931    0.9287    0.9612    0.7608   0.03398   0.04556   0.01239
     94/99     12.9G   0.01718   0.01622  0.001849   0.03525        73       640    0.9201    0.9414    0.9604    0.7512   0.03427   0.04587   0.01225
     95/99     12.9G     0.017   0.01597  0.001758   0.03473        42       640     0.938     0.924    0.9626    0.7543   0.03418   0.04562   0.01223
     96/99     12.9G   0.01702   0.01768  0.002068   0.03677        45       640    0.9219    0.9347    0.9628    0.7591    0.0344   0.04634   0.01248
     97/99     12.9G   0.01748   0.01616  0.002195   0.03583        15       640    0.9298    0.9167    0.9593    0.7485   0.03445   0.04609   0.01262
     98/99     12.9G   0.01744    0.0167  0.001946   0.03609        78       640    0.9462    0.9125    0.9596    0.7563   0.03446   0.04567   0.01249
     99/99     12.9G   0.01736     0.016   0.00193   0.03529        79       640    0.9402    0.9183    0.9623    0.7601   0.03447   0.04584    0.0123
